1	8.57	23.84	2.81	128.9	24.27
2	9.59	24.95	2.64	153.36	30.65
3	8.15	24.13	3.02	122.13	23.64
4	8.21	25.89	3.17	136.84	28.24
5	7.99	22.92	3	112.67	23.12
6	8.07	24.18	3.06	126.01	27.05
7	10.2	27.56	3.13	132.66	28.79
8	9.83	24.9	2.88	126.03	28.25
9	8.38	24.64	2.97	130.56	26.96
10	8.76	26.34	3.11	140.4	29.98
11	8.68	27	3.21	142.58	31.16
12	8.62	27.17	3.23	144.14	31.01
13	7.29	24.94	3.44	116.52	24.32
14	8.12	25.76	3.19	135.48	28.18
15	8.50	22.46	2.67	118.98	22.26
16	7.74	24.15	3.20	112.85	24.12
17	9.03	27.45	3.18	143.83	31.59
18	8.40	26.43	3.31	127.12	27.43
19	8.47	23.75	2.84	126.35	26.71
20	8.68	25.87	3.10	132.79	28.39
